x,g_lower,g_upper,g_median,up_lower,up_upper,up_median,dp_lower,dp_upper,dp_median,sp_lower,sp_upper,sp_median,um_lower,um_upper,um_median,dm_lower,dm_upper,dm_median,sm_lower,sm_upper,sm_median
0.005656206,-0.081097615,0.073393277,-0.009470221,0.010108429,0.023329609,0.017254774,-0.039692696,-0.02271337,-0.03146737,-0.019694123,0.009633698,-0.005313897,-0.008424932,0.011187652,0.001437018,-0.02709433,0.00916277,-0.007101827,0.004510156,0.027388877,0.016311199
0.006579332,-0.081665597,0.073574073,-0.011268369,0.01221975,0.025585119,0.019216911,-0.043123418,-0.025207516,-0.03452135,-0.020638971,0.010955072,-0.005199664,-0.008146675,0.012838006,0.002295408,-0.029190415,0.0096546,-0.007959238,0.003950222,0.028444318,0.016356586
0.007653118,-0.081530201,0.0712988,-0.008239494,0.014418059,0.028121892,0.021479595,-0.046664595,-0.028206012,-0.037596101,-0.020959237,0.01233211,-0.005236847,-0.008078864,0.014717687,0.003306734,-0.03122889,0.01004369,-0.008549011,0.003026806,0.028864116,0.016168414
0.008902151,-0.085012709,0.072687367,-0.005645463,0.017063187,0.030994111,0.024288697,-0.050212067,-0.031355264,-0.040804168,-0.021773301,0.013792018,-0.004439942,-0.007635608,0.016946479,0.004735151,-0.033913833,0.010807362,-0.009299366,0.001930131,0.029384766,0.015602249
0.010355034,-0.090150608,0.073815421,-0.002073165,0.019630664,0.033804669,0.027118706,-0.05308022,-0.033917979,-0.043738931,-0.021346992,0.015202856,-0.003697695,-0.006458273,0.019373343,0.006629773,-0.035716715,0.011220879,-0.010053583,-2.77765E-05,0.028592027,0.014138085
0.012045035,-0.093728149,0.076967955,-0.001375599,0.022597267,0.037248735,0.030394543,-0.057279946,-0.036931132,-0.047349656,-0.0211866,0.016772099,-0.002347469,-0.005076211,0.022050115,0.008748691,-0.038098329,0.011471849,-0.01074504,-0.001629833,0.028298086,0.012821912
0.014010855,-0.096366625,0.076264282,-0.00148132,0.025937808,0.041262634,0.033979331,-0.061880388,-0.040343681,-0.051248522,-0.021159823,0.01940117,-0.00165764,-0.003327815,0.025065853,0.011100035,-0.040735964,0.012244367,-0.01162732,-0.004555719,0.027200615,0.011146833
0.016297508,-0.096458467,0.076474758,-0.001787534,0.029357618,0.045969419,0.037989854,-0.0667945,-0.044053552,-0.055319409,-0.021035481,0.022710385,-0.000201161,-0.001042537,0.028576566,0.013831153,-0.042909738,0.013262983,-0.012840249,-0.007510703,0.026149124,0.009090293
0.018957357,-0.101241987,0.084450681,-0.002808607,0.033620408,0.050943979,0.042843423,-0.071041283,-0.047587101,-0.059580622,-0.020492414,0.025987445,0.001713526,0.001177084,0.032664216,0.017138572,-0.045873011,0.013659463,-0.014521148,-0.011436446,0.023958679,0.006135432
0.022051307,-0.110735813,0.088843995,-0.002200233,0.037882605,0.055165299,0.047557944,-0.074603348,-0.050507783,-0.062925355,-0.018615977,0.029051601,0.004215987,0.004881349,0.037528244,0.021213133,-0.046828473,0.014438144,-0.015012897,-0.017195395,0.019379381,0.00148307
0.025650209,-0.120380695,0.097136475,-0.001192407,0.043041694,0.061494401,0.052865525,-0.079229071,-0.054885985,-0.067511564,-0.018395281,0.03231617,0.00687351,0.008409999,0.042642022,0.025873938,-0.048955775,0.01616756,-0.016262946,-0.023012417,0.015458754,-0.003158101
0.029836472,-0.132870953,0.106139502,-0.003510877,0.048630636,0.067891185,0.059058791,-0.084564022,-0.059131953,-0.071958657,-0.016437194,0.037315481,0.009468157,0.012861874,0.048527496,0.030712621,-0.051544106,0.016475108,-0.017228423,-0.029633452,0.010135181,-0.009209353
